id,timestamp,stream_type,source_detail,event,duration_ms,correlated_stall_ms,notes
20260511_235314_240,2026-05-11T23:53:14.240734-04:00,radio,radio,play_start,,,
20260511_235315_022,2026-05-11T23:53:15.022622-04:00,radio,radio,play_stop,781,,session 0s
20260512_065921_013,2026-05-12T06:59:21.013975-04:00,radio,radio,play_start,,,
20260512_065921_670,2026-05-12T06:59:21.670031-04:00,radio,radio,dropout,3837,,
20260512_065926_811,2026-05-12T06:59:26.811525-04:00,radio,radio,play_stop,5797,,session 5s
20260512_195953_788,2026-05-12T19:59:53.788585-04:00,radio,radio,play_start,,,
20260512_195954_488,2026-05-12T19:59:54.488922-04:00,radio,radio,dropout,4981,,
20260512_200000_778,2026-05-12T20:00:00.778135-04:00,radio,radio,play_stop,6989,,session 6s
20260512_200432_384,2026-05-12T20:04:32.384483-04:00,radio,radio,play_start,,,
20260512_200433_054,2026-05-12T20:04:33.054370-04:00,radio,radio,dropout,5997,,
20260512_210558_436,2026-05-12T21:05:58.436893-04:00,spotify,librespot,play_stop,3686052,,session 3686s
20260513_002353_126,2026-05-13T00:23:53.126018-04:00,spotify,librespot,play_start,,,
20260513_002353_803,2026-05-13T00:23:53.803476-04:00,spotify,librespot,play_stop,677,,session 0s
20260513_010647_829,2026-05-13T01:06:47.829063-04:00,spotify,librespot,play_start,,,
20260513_010648_529,2026-05-13T01:06:48.529404-04:00,spotify,librespot,dropout,8355,,
20260513_010659_164,2026-05-13T01:06:59.164680-04:00,spotify,librespot,play_stop,11335,,session 11s
20260513_195844_645,2026-05-13T19:58:44.645099-04:00,spotify,librespot,play_start,,,
20260513_195845_337,2026-05-13T19:58:45.337592-04:00,spotify,librespot,dropout,10476,,
20260513_195856_509,2026-05-13T19:58:56.509544-04:00,spotify,librespot,dropout,11500,,
20260513_195908_714,2026-05-13T19:59:08.714832-04:00,spotify,librespot,dropout,10538,,
20260513_195919_956,2026-05-13T19:59:19.956268-04:00,spotify,librespot,dropout,5035,,
20260513_195926_507,2026-05-13T19:59:26.507372-04:00,spotify,librespot,dropout,6247,,
20260513_195933_468,2026-05-13T19:59:33.468216-04:00,radio,radio,dropout,5433,,
20260513_200508_234,2026-05-13T20:05:08.234813-04:00,radio,radio,dropout,5152,,
20260513_200514_107,2026-05-13T20:05:14.107265-04:00,radio,radio,dropout,5512,,
20260513_200622_562,2026-05-13T20:06:22.562948-04:00,spotify,librespot,dropout,12269,,
20260513_200635_496,2026-05-13T20:06:35.496833-04:00,spotify,librespot,dropout,12476,,
20260513_200648_634,2026-05-13T20:06:48.634635-04:00,radio,radio,dropout,4029,,
20260514_000218_462,2026-05-14T00:02:18.462210-04:00,spotify,librespot,play_stop,14613817,,session 14613s
20260514_005120_110,2026-05-14T00:51:20.110202-04:00,spotify,librespot,play_start,,,
20260514_005120_827,2026-05-14T00:51:20.827981-04:00,spotify,librespot,play_stop,717,,session 0s
20260514_140848_951,2026-05-14T14:08:48.951656-04:00,spotify,librespot,play_start,,,
